id,user_id,book_id,quantity,shipping,date,price_clean,currency,price_usd,paid_price
80941,47864,21550,1,,2025-01-11 00:00:00.000,67.0,EUR,80.4,80.4
81245,47864,22052,2,,2024-03-27 07:46:55.055,26.99,EUR,32.39,64.78
78477,48918,21367,1,,2025-06-29 00:00:00.000,30.0,USD,30.0,30.0
86303,48092,21724,1,,2024-11-06 00:00:00.000,18.0,USD,18.0,18.0
81990,48418,21441,1,,2024-09-16 00:00:00.000,24.99,USD,24.99,24.99
82785,50265,21459,2,,2024-06-29 00:13:48.016,41.5,USD,41.5,83.0
84594,49429,21598,1,,2024-07-06 00:00:00.000,19.99,USD,19.99,19.99
86155,49965,21752,1,,2025-01-08 00:00:00.000,61.99,USD,61.99,61.99
82478,50188,21587,1,,2024-11-08 02:05:08.703,69.5,USD,69.5,69.5
80811,50433,21899,1,,2024-08-18 00:00:00.000,66.99,EUR,80.39,80.39
80319,48403,21729,1,"605 Durgan Corner, New Marcos, PA 20319-6778",2025-02-22 00:00:00.000,44.99,USD,44.99,44.99
81678,50160,21892,1,,2025-01-31 00:00:00.000,24.5,USD,24.5,24.5
78241,50620,21794,2,,2025-02-11 00:00:00.000,32.25,USD,32.25,64.5
78614,47795,21803,1,,2025-01-22 00:00:00.000,49.5,USD,49.5,49.5
84345,50838,21832,1,,2025-03-21 00:00:00.000,32.5,USD,32.5,32.5
80911,49908,21881,1,,2024-08-27 08:15:41.056,63.5,USD,63.5,63.5
79692,49610,21675,1,,2024-11-04 00:00:00.000,18.5,USD,18.5,18.5
81095,50016,21374,1,,2025-07-21 00:00:00.000,71.99,EUR,86.39,86.39
79587,49751,21339,4,,2024-12-04 00:00:00.000,65.0,USD,65.0,260.0
82696,50196,21584,1,,2024-11-06 00:00:00.000,43.0,EUR,51.6,51.6
83541,50147,21816,2,"Suite 772 5259 Ozie Summit, Cummerataview, IN 87860",2025-03-06 00:00:00.000,70.5,USD,70.5,141.0
77673,50860,21475,1,,2025-04-16 00:00:00.000,26.0,USD,26.0,26.0
85884,49197,21976,1,,2024-09-05 00:00:00.000,29.0,EUR,34.8,34.8
82744,50498,21491,1,,2024-09-10 00:00:00.000,30.0,USD,30.0,30.0
80411,48273,22026,2,,2024-12-07 00:00:00.000,57.5,USD,57.5,115.0
80497,48726,21543,1,,2025-04-10 00:00:00.000,53.25,EUR,63.9,63.9
83693,50758,21777,1,,2025-02-05 00:00:00.000,31.5,EUR,37.8,37.8
86357,49125,21573,2,"78346 Edmundo Heights, Huelshire, VA 41518-0607",2024-08-24 00:00:00.000,28.0,USD,28.0,56.0
83599,47733,22055,1,,2024-08-24 00:00:00.000,55.5,USD,55.5,55.5
85921,48883,22033,1,,2024-04-02 15:37:20.585,48.75,USD,48.75,48.75
78452,48120,21394,1,,2025-03-31 00:00:00.000,68.0,USD,68.0,68.0
78567,49847,21824,1,,2024-08-18 00:00:00.000,59.0,USD,59.0,59.0
81760,49820,22034,1,,2024-11-01 00:00:00.000,75.75,USD,75.75,75.75
86115,48338,21596,1,,2024-07-10 00:00:00.000,36.25,USD,36.25,36.25
83127,49203,22008,1,,2024-11-01 00:00:00.000,66.75,USD,66.75,66.75
79078,48803,21321,1,,2025-01-14 00:00:00.000,68.5,USD,68.5,68.5
82188,48744,21486,3,"70939 Lloyd Fall, Dooleybury, CO 89886",2024-12-23 00:00:00.000,25.5,EUR,30.6,91.80000000000001
85506,50199,22035,3,,2025-06-03 00:00:00.000,34.0,USD,34.0,102.0
83638,47781,21963,1,"Suite 852 6071 Frami Grove, Lake Refugiofurt, MI 42887",2024-08-10 00:00:00.000,38.25,USD,38.25,38.25
81421,49252,21481,2,"7358 Syreeta Prairie, New Pamelabury, DE 91542",2025-07-18 00:00:00.000,22.25,USD,22.25,44.5
84980,49584,21502,2,,2025-04-03 00:00:00.000,67.0,USD,67.0,134.0
83383,50284,21478,2,,2025-03-20 05:57:41.000,47.99,USD,47.99,95.98
79354,48473,21445,1,,2025-01-05 00:00:00.000,18.25,USD,18.25,18.25
78989,50814,22003,1,,2024-11-18 00:00:00.000,57.0,EUR,68.4,68.4
79163,50262,21671,1,,2024-09-25 00:00:00.000,38.99,USD,38.99,38.99
80696,50380,21734,1,,2024-08-24 00:00:00.000,52.75,USD,52.75,52.75
80970,50465,21914,1,,2024-12-28 00:00:00.000,70.5,USD,70.5,70.5
77932,48130,21640,1,"Suite 969 7846 Rocio Rue, Dachchester, HI 26095-4420",2024-09-12 00:00:00.000,42.99,USD,42.99,42.99
85202,50574,21342,1,,2025-03-02 00:00:00.000,60.0,USD,60.0,60.0
82723,48276,21490,2,"Apt. 429 33804 Kathryn Mountains, Joanaburgh, MA 37568-5100",2024-04-09 00:00:00.000,66.0,USD,66.0,132.0
84301,49810,21541,2,,2024-11-14 00:00:00.000,36.75,USD,36.75,73.5
81900,47861,21968,1,,2024-07-08 15:54:03.687,21.5,USD,21.5,21.5
79808,50485,21730,2,,2024-12-27 19:57:22.000,36.0,USD,36.0,72.0
80632,50264,21866,1,,2025-10-02 00:00:00.000,39.5,EUR,47.4,47.4
79118,49855,21875,1,,2024-07-20 05:28:43.000,47.75,USD,47.75,47.75
86018,48325,21891,4,,2025-05-01 00:00:00.000,65.75,USD,65.75,263.0
84510,50205,21738,1,,2025-01-25 00:00:00.000,42.75,EUR,51.3,51.3
78479,49638,21306,1,,2024-12-02 00:00:00.000,50.0,USD,50.0,50.0
79406,48453,21802,1,,2025-04-20 00:00:00.000,43.0,USD,43.0,43.0
82487,48591,21591,1,"Apt. 659 83330 Schmeler Lodge, Napoleonborough, CO 90847-5961",2025-07-14 00:00:00.000,50.0,USD,50.0,50.0
78571,50095,21328,2,,2024-11-20 00:00:00.000,63.5,USD,63.5,127.0
77998,48686,21614,1,,2024-10-11 00:00:00.000,51.75,EUR,62.1,62.1
84704,48082,21888,1,,2025-12-01 00:00:00.000,73.99,USD,73.99,73.99
83330,49774,21327,1,"Apt. 325 62226 Friesen Crossing, Douglaschester, WA 60351",2024-08-07 00:00:00.000,20.99,EUR,25.19,25.19
81373,48146,21789,2,"Suite 229 8016 Clifton Mission, East Ianburgh, OR 94196-5070",2025-03-21 10:55:16.690,25.0,EUR,30.0,60.0
85584,50335,21807,2,,2024-07-12 00:00:00.000,33.0,EUR,39.6,79.2
83019,48576,21610,2,,2024-04-26 00:00:00.000,56.0,EUR,67.2,134.4
82291,48726,21337,1,,2024-10-21 06:59:40.808,37.25,USD,37.25,37.25
81438,50887,21963,1,,2025-10-14 00:00:00.000,40.75,EUR,48.9,48.9
80865,48813,21767,1,,2024-10-10 00:00:00.000,31.5,USD,31.5,31.5
85381,48441,21799,1,,2024-08-30 00:00:00.000,28.0,EUR,33.6,33.6
83560,49965,21788,1,"Suite 539 278 Lida Rapids, Lake Coltonport, IA 27687-9720",2024-12-25 10:10:52.000,21.0,EUR,25.2,25.2
79948,48796,21322,1,,2024-06-17 23:34:10.436,32.75,USD,32.75,32.75
85164,49358,21815,1,,2024-12-25 00:00:00.000,17.25,USD,17.25,17.25
80413,50609,21574,1,"Suite 134 64019 Jon Corners, North Alonaport, NV 81038-7338",2024-11-08 00:00:00.000,47.5,USD,47.5,47.5
81408,48832,21722,1,,2025-01-22 11:46:57.657,38.99,EUR,46.79,46.79
81698,48268,21852,1,,2025-02-19 00:00:00.000,41.0,USD,41.0,41.0
78512,49347,21867,1,"Suite 220 77811 Davis Plaza, Port Lisaport, IL 97878",2025-04-08 04:00:43.694,61.75,EUR,74.1,74.1
84393,48193,22046,1,,2024-09-28 00:00:00.000,59.99,USD,59.99,59.99
80530,48078,21380,1,,2024-07-06 00:00:00.000,64.5,USD,64.5,64.5
80166,49047,21749,1,"225 Carolann Passage, West Anderson, WI 01900",2025-04-06 00:00:00.000,71.5,USD,71.5,71.5
82887,50071,21731,2,,2025-01-18 00:00:00.000,51.25,USD,51.25,102.5
78037,47973,21631,1,"56199 Jamey Shoals, Lake Issacville, VT 17712",2024-12-17 00:00:00.000,24.0,EUR,28.8,28.8
81752,48948,21308,1,,2025-05-14 00:00:00.000,36.0,USD,36.0,36.0
